Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,IN_AP,-1.0,-1.0,5.0,5.0,4.0,0.0
2020-02-15,IN_AR,1.0,-9.0,3.0,-4.0,9.0,1.0
2020-02-15,IN_AS,2.0,3.0,1.0,1.0,10.0,0.0
2020-02-15,IN_BR,4.0,5.0,3.0,6.0,6.0,-1.0
2020-02-15,IN_CH,0.0,0.0,8.0,4.0,5.0,-1.0
2020-02-15,IN_CT,1.0,2.0,4.0,6.0,0.0,0.0
2020-02-15,IN_DD,5.0,-5.0,4.0,12.0,3.0,0.0
2020-02-15,IN_DL,1.0,2.0,8.0,6.0,4.0,0.0
2020-02-15,IN_DN,5.0,-25.0,4.0,0.0,2.0,0.0
2020-02-15,IN_GA,-2.0,-7.0,-3.0,0.0,3.0,0.0
2020-02-15,IN_GJ,0.0,1.0,4.0,2.0,2.0,0.0
2020-02-15,IN_HP,9.0,8.0,9.0,9.0,19.0,-2.0
2020-02-15,IN_HR,3.0,3.0,12.0,5.0,3.0,-1.0
2020-02-15,IN_JH,-1.0,-1.0,2.0,4.0,6.0,0.0
2020-02-15,IN_JK,166.0,153.0,248.0,249.0,130.0,-7.0
2020-02-15,IN_KA,2.0,1.0,2.0,3.0,5.0,0.0
2020-02-15,IN_KL,-3.0,-2.0,-3.0,-3.0,4.0,1.0
2020-02-15,IN_LD,,,1.0,,9.0,
2020-02-15,IN_MH,-3.0,-1.0,2.0,3.0,2.0,0.0
2020-02-15,IN_ML,13.0,19.0,4.0,-1.0,10.0,2.0
2020-02-15,IN_MN,1.0,-1.0,2.0,7.0,-9.0,2.0
2020-02-15,IN_MP,2.0,3.0,3.0,4.0,0.0,0.0
2020-02-15,IN_MZ,4.0,10.0,7.0,8.0,7.0,0.0
2020-02-15,IN_NL,1.0,-8.0,6.0,1.0,18.0,1.0
2020-02-15,IN_OR,-1.0,0.0,1.0,4.0,6.0,0.0
2020-02-15,IN_PB,1.0,2.0,4.0,3.0,6.0,-1.0
2020-02-15,IN_PY,-1.0,-3.0,18.0,5.0,7.0,1.0
2020-02-15,IN_RJ,2.0,2.0,4.0,4.0,5.0,-1.0
2020-02-15,IN_SK,6.0,16.0,7.0,7.0,13.0,0.0
2020-02-15,IN_TG,2.0,0.0,1.0,4.0,1.0,0.0
2020-02-15,IN_TN,1.0,0.0,3.0,2.0,6.0,0.0
2020-02-15,IN_TR,3.0,9.0,2.0,5.0,6.0,0.0
2020-02-15,IN_UP,4.0,6.0,7.0,5.0,3.0,-1.0
2020-02-15,IN_UT,5.0,4.0,7.0,13.0,4.0,-1.0
2020-02-15,IN_WB,-3.0,1.0,-2.0,-1.0,6.0,1.0
2020-02-15,IQ,16.0,13.0,13.0,19.0,14.0,0.0
2020-02-15,IT,3.0,-1.0,35.0,9.0,0.0,-1.0
2020-02-15,IT_25,2.0,-1.0,50.0,8.0,-2.0,-1.0
2020-02-15,IT_34,6.0,1.0,54.0,18.0,1.0,-2.0
2020-02-15,IT_42,3.0,2.0,41.0,8.0,1.0,-1.0
2020-02-15,IT_45,5.0,4.0,25.0,7.0,1.0,-2.0
2020-02-15,IT_52,5.0,0.0,75.0,13.0,1.0,-2.0
2020-02-15,IT_55,3.0,-1.0,55.0,14.0,-2.0,-2.0
2020-02-15,IT_57,4.0,-1.0,32.0,9.0,1.0,-1.0
2020-02-15,IT_62,4.0,-1.0,43.0,9.0,1.0,-2.0
2020-02-15,IT_65,2.0,2.0,36.0,9.0,0.0,-1.0
2020-02-15,IT_67,2.0,1.0,25.0,4.0,2.0,-1.0
2020-02-15,IT_72,2.0,-1.0,23.0,10.0,0.0,-2.0
2020-02-15,IT_75,-1.0,1.0,4.0,2.0,-1.0,0.0
2020-02-15,IT_77,-1.0,-1.0,12.0,0.0,-1.0,0.0
2020-02-15,IT_78,-2.0,-2.0,12.0,3.0,1.0,0.0
2020-02-15,IT_82,0.0,-2.0,20.0,1.0,-2.0,0.0
2020-02-15,IT_88,-2.0,-1.0,23.0,4.0,0.0,0.0
2020-02-15,JM,-1.0,-1.0,-4.0,0.0,4.0,1.0
2020-02-15,JO,4.0,4.0,28.0,2.0,0.0,-1.0
2020-02-15,JP,-1.0,4.0,7.0,1.0,4.0,0.0
2020-02-15,JP_01,-1.0,5.0,-1.0,-2.0,4.0,1.0
2020-02-15,JP_02,1.0,2.0,10.0,-4.0,5.0,-1.0
2020-02-15,JP_03,1.0,3.0,12.0,0.0,5.0,0.0
2020-02-15,JP_04,-2.0,4.0,19.0,-3.0,4.0,0.0
2020-02-15,JP_05,5.0,5.0,38.0,7.0,6.0,-1.0
2020-02-15,JP_06,1.0,3.0,9.0,-2.0,6.0,0.0
2020-02-15,JP_07,-1.0,3.0,23.0,-1.0,6.0,0.0
2020-02-15,JP_08,2.0,4.0,15.0,-2.0,5.0,0.0
2020-02-15,JP_09,-2.0,2.0,2.0,-4.0,3.0,0.0
2020-02-15,JP_10,-2.0,2.0,11.0,-2.0,5.0,0.0
2020-02-15,JP_11,0.0,4.0,11.0,0.0,4.0,0.0
2020-02-15,JP_12,-3.0,3.0,9.0,0.0,4.0,0.0
2020-02-15,JP_13,-2.0,5.0,9.0,1.0,4.0,1.0
2020-02-15,JP_14,-1.0,6.0,11.0,0.0,3.0,1.0
2020-02-15,JP_15,3.0,1.0,14.0,4.0,5.0,0.0
2020-02-15,JP_16,-2.0,3.0,16.0,1.0,8.0,-1.0
2020-02-15,JP_17,1.0,3.0,15.0,1.0,7.0,-1.0
2020-02-15,JP_18,2.0,3.0,26.0,6.0,7.0,-1.0
2020-02-15,JP_19,-1.0,0.0,5.0,-5.0,5.0,0.0
2020-02-15,JP_20,-2.0,3.0,6.0,-4.0,6.0,0.0
2020-02-15,JP_21,0.0,4.0,-2.0,0.0,4.0,0.0
2020-02-15,JP_22,-1.0,6.0,16.0,2.0,4.0,0.0
2020-02-15,JP_23,0.0,3.0,8.0,-4.0,4.0,0.0
2020-02-15,JP_24,-1.0,2.0,-10.0,-11.0,5.0,0.0
2020-02-15,JP_25,-3.0,3.0,13.0,-3.0,5.0,0.0
2020-02-15,JP_26,-3.0,2.0,-2.0,-5.0,2.0,0.0
2020-02-15,JP_27,0.0,3.0,2.0,-3.0,3.0,1.0
